Test epoch:83, loss=0.12001847480965215, err=0.1895348837209302
Train epoch:84, loss=0.06974447448508352, err=0.03537882719252722
Test epoch:84, loss=0.11818598747946495, err=0.17755813953488364
Train epoch:85, loss=0.06775697620733451, err=0.03251167618059154
Test epoch:85, loss=0.11798611058052196, err=0.178720930232558
Train epoch:86, loss=0.06810297610235294, err=0.032784120394395384
Test epoch:86, loss=0.11641302450105201, err=0.16860465116279053
Train epoch:87, loss=0.06828341865936245, err=0.03203165542293717
Test epoch:87, loss=0.11625323993868605, err=0.1684883720930232
Train epoch:88, loss=0.06953762488301454, err=0.032226258432797035
Test epoch:88, loss=0.11591014205369839, err=0.16372093023255804
Train epoch:89, loss=0.06666124093896779, err=0.030760249091852564
Test epoch:89, loss=0.11539881811585537, err=0.1633720930232558
Train epoch:90, loss=0.06839770451284748, err=0.03095485210171246
Test epoch:90, loss=0.115056734999945, err=0.1606976744186045
Train epoch:91, loss=0.06889378727468327, err=0.03079916969382456
Test epoch:91, loss=0.11483292827426, err=0.16023255813953474
Train epoch:92, loss=0.06934893840066528, err=0.030539699014011372
Test epoch:92, loss=0.1143163615534472, err=0.15790697674418594
Train epoch:93, loss=0.06792167000874652, err=0.030799169693824558
Test epoch:93, loss=0.1145796389427296, err=0.1611627906976743
Train epoch:94, loss=0.06951528442535428, err=0.030889984431759162
Test epoch:94, loss=0.11354126138396041, err=0.15546511627906964
Train epoch:95, loss=0.06998756665448388, err=0.031110534509600354
Test epoch:95, loss=0.1132222858625789, err=0.1532558139534883
Train epoch:96, loss=0.06913713745765106, err=0.030721328489880604
Test epoch:96, loss=0.11308210668868797, err=0.15011627906976735
Train epoch:97, loss=0.07034190461623371, err=0.030189413596263568
Test epoch:97, loss=0.11277218341480853, err=0.14930232558139528
Train epoch:98, loss=0.06754066431571086, err=0.030345096004151466
Test epoch:98, loss=0.11244416316581327, err=0.15058139534883722
Train epoch:99, loss=0.06833039291230086, err=0.02951478982874931
Test epoch:99, loss=0.11236396821778874, err=0.14779069767441866
Train epoch:100, loss=0.06902512552271746, err=0.02893098079916963
Test epoch:100, loss=0.11184188228013904, err=0.14569767441860462
Train epoch:101, loss=0.06634433966054623, err=0.027685521536066383
Test epoch:101, loss=0.11214218709704488, err=0.1494186046511628
Train epoch:102, loss=0.06925212544716264, err=0.02913855734302019
Test epoch:102, loss=0.11148593053221703, err=0.14360465116279073
Train epoch:103, loss=0.06769587158514974, err=0.027906071613907606
Test epoch:103, loss=0.11124867999622988, err=0.143953488372093
Train epoch:104, loss=0.06799507438615747, err=0.02740010378827187
Test epoch:104, loss=0.1111379318805628, err=0.14348837209302326
Train epoch:105, loss=0.0680621737217, err=0.02646600934094442
Test epoch:105, loss=0.1112479905056399, err=0.14523255813953487
Train epoch:106, loss=0.06978618566741365, err=0.02773741567202902
Test epoch:106, loss=0.11091666814199713, err=0.14174418604651162
Train epoch:107, loss=0.06985951746467425, err=0.026375194603009817
Test epoch:107, loss=0.11036925837397575, err=0.13895348837209304
Train epoch:108, loss=0.0685465051906138, err=0.026310326933056526
Test epoch:108, loss=0.11022950131879296, err=0.13639534883720936
Train epoch:109, loss=0.06837737170924284, err=0.025998962117280682
Test epoch:109, loss=0.11021950657284538, err=0.13790697674418612
Train epoch:110, loss=0.06807298803451646, err=0.025998962117280713
Test epoch:110, loss=0.1102486110877159, err=0.13755813953488374
Train epoch:111, loss=0.06806183982878289, err=0.025544888427607614
Test epoch:111, loss=0.10979177572352941, err=0.1355813953488372
Train epoch:112, loss=0.06725248878267867, err=0.025233523611831822
Test epoch:112, loss=0.10979478272587755, err=0.13697674418604658
Train epoch:113, loss=0.06951821063991712, err=0.02553191489361698
Test epoch:113, loss=0.10987879999501761, err=0.13662790697674423
Train epoch:114, loss=0.0677010134156343, err=0.02610275038920597
Test epoch:114, loss=0.11006023289505826, err=0.138953488372093
Train epoch:115, loss=0.06627873591421396, err=0.026946030098598802
Test epoch:115, loss=0.1092315626179063, err=0.1334883720930233
Train epoch:116, loss=0.0687614202810636, err=0.02463674104826149
Test epoch:116, loss=0.10830999848454498, err=0.12697674418604654
Train epoch:117, loss=0.06846581909517488, err=0.024273482096523046
Test epoch:117, loss=0.10826070715868195, err=0.1286046511627907
Train epoch:118, loss=0.06869143562717146, err=0.02457187337830822
Test epoch:118, loss=0.10782706411771996, err=0.1247674418604651
Train epoch:119, loss=0.07010283113515742, err=0.024455111572392288
Test epoch:119, loss=0.10710843678477198, err=0.12011627906976749
Train epoch:120, loss=0.06808510730859833, err=0.024039958484691183
Test epoch:120, loss=0.1070219352668108, err=0.12267441860465114
Train epoch:121, loss=0.06836212981447817, err=0.02398806434872854
Test epoch:121, loss=0.1072955991466378, err=0.1263953488372093
Train epoch:122, loss=0.06708470136255845, err=0.02396211728074722
Test epoch:122, loss=0.10681188463471657, err=0.1203488372093023
Train epoch:123, loss=0.06709604580042333, err=0.02328749351323297
Test epoch:123, loss=0.10660452215477478, err=0.11930232558139538
Train epoch:124, loss=0.06781401546680686, err=0.02272963155163463
Test epoch:124, loss=0.10673368859083153, err=0.11848837209302328
Train epoch:125, loss=0.06820315801643403, err=0.023209652309288994
Test epoch:125, loss=0.10664129562156145, err=0.12244186046511635
Train epoch:126, loss=0.06597126020310948, err=0.023793461338868668
Test epoch:126, loss=0.10693335216059241, err=0.12406976744186049
Train epoch:127, loss=0.07050008626609314, err=0.024545926310326892
Test epoch:127, loss=0.1056130794071874, err=0.11395348837209297
Train epoch:128, loss=0.06841220971357347, err=0.022794499221587924
Test epoch:128, loss=0.10546274365380753, err=0.11290697674418611
Train epoch:129, loss=0.0674303175120788, err=0.022249610793980232
Test epoch:129, loss=0.1056396514523861, err=0.1154651162790698
Train epoch:130, loss=0.06947328796060238, err=0.022340425531914856
Test epoch:130, loss=0.10504715194882348, err=0.11220930232558143
Train epoch:131, loss=0.06838780492529675, err=0.021990140114167063
Test epoch:131, loss=0.10522709837140039, err=0.11325581395348837
Train epoch:132, loss=0.06675244943583389, err=0.02180851063829785
Test epoch:132, loss=0.10488955865419189, err=0.11209302325581395
Train epoch:133, loss=0.06592996050876754, err=0.021471198754540705
Test epoch:133, loss=0.10472728005328844, err=0.10988372093023256
Train epoch:134, loss=0.0693318182907005, err=0.021730669434353873
Test epoch:134, loss=0.104467123227064, err=0.1063953488372093
Train epoch:135, loss=0.06797975925781842, err=0.020913336792942355
Test epoch:135, loss=0.10447358679632808, err=0.10941860465116277
Train epoch:136, loss=0.06912434992119941, err=0.021043072132848957
Test epoch:136, loss=0.10421220199313275, err=0.10604651162790699
Train epoch:137, loss=0.06868804291617579, err=0.02135443694862475
Test epoch:137, loss=0.10434800951286805, err=0.10755813953488372
Train epoch:138, loss=0.06903481229919346, err=0.02114686040477423
Test epoch:138, loss=0.10407018032531405, err=0.10569767441860464
Train epoch:139, loss=0.0666924189635058, err=0.020355474831344023
Test epoch:139, loss=0.1036735791279826, err=0.10430232558139536
Train epoch:140, loss=0.06911672159959815, err=0.02053710430721325
Test epoch:140, loss=0.10342363770617995, err=0.10209302325581393
Train epoch:141, loss=0.06851103580467399, err=0.02080954852101709
Test epoch:141, loss=0.10328795816316161, err=0.102093023255814
Train epoch:142, loss=0.06963981583242783, err=0.020861442656979718
Test epoch:142, loss=0.1029971141801324, err=0.09837209302325581
Train epoch:143, loss=0.06708706490072984, err=0.020861442656979718
Test epoch:143, loss=0.1031603497647962, err=0.1024418604651163
Train epoch:144, loss=0.06946502272551952, err=0.020705760249091827
Test epoch:144, loss=0.10305307048351266, err=0.10174418604651164
Train epoch:145, loss=0.06767572999410389, err=0.019966268811624256
Test epoch:145, loss=0.10292142399175222, err=0.10139534883720928
Train epoch:146, loss=0.06871882670466678, err=0.01940840685002593
